supplement_name,medication_name,severity,description,recommendation,source
Astaxanthin,Azithromycin,high,"Increased risk of adverse effects or reduced efficacy due to absorption, metabolism, or additive effects. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Avoid routine co‑use without medical supervision; consider alternatives or lab monitoring. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Artichoke Extract,Sitagliptin,low,Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Artichoke Extract may affect CYP enzymes or transporters impacting Sitagliptin.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Cordyceps,Amoxicillin,low,Low likelihood of clinically significant interaction. Cordyceps may affect CYP enzymes or transporters impacting Amoxicillin. Individual response varies; comorbidities and dose matter.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Iodine (Kelp),Topiramate,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Artichoke Extract,Semaglutide,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Horny Goat Weed,Insulin (Lispro),low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Horny Goat Weed may affect CYP enzymes or transporters impacting Insulin (Lispro).","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Niacinamide,Ibuprofen,low,Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Niacinamide may affect CYP enzymes or transporters impacting Ibuprofen.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Chondroitin,Clopidogrel,high,"Increased risk of adverse effects or reduced efficacy due to absorption, metabolism, or additive effects. Chondroitin may affect CYP enzymes or transporters impacting Clopidogrel. Potential additive effects on blood pressure, glycemia, or coagulation.","Avoid routine co‑use without medical supervision; consider alternatives or lab monitoring. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Ginseng,Rosuvastatin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Niacin (Flush),Lorazepam,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Zinc (Gluconate),Alprazolam,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
