supplement_name,medication_name,severity,mechanism,evidence,recommendation
Supplement 905,Medication 38,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 466,Medication 85,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 779,Medication 33,high,Unknown,A,Auto-generated interaction
Supplement 335,Medication 72,low,Additive effect,A,Auto-generated interaction
Supplement 14,Medication 63,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 746,Medication 96,low,Unknown,C,Auto-generated interaction
Supplement 259,Medication 78,high,Additive effect,B,Auto-generated interaction
Supplement 941,Medication 39,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 164,Medication 62,high,Additive effect,A,Auto-generated interaction
Supplement 496,Medication 138,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 302,Medication 121,high,Absorption reduction,B,Auto-generated interaction
Supplement 852,Medication 78,high,Unknown,C,Auto-generated interaction
Supplement 429,Medication 4,low,Absorption reduction,C,Auto-generated interaction
Supplement 882,Medication 102,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 467,Medication 1,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 672,Medication 6,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 570,Medication 4,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 701,Medication 107,low,Additive effect,B,Auto-generated interaction
Supplement 608,Medication 10,high,Additive effect,B,Auto-generated interaction
Supplement 706,Medication 135,high,Additive effect,C,Auto-generated interaction
Supplement 283,Medication 123,high,Unknown,B,Auto-generated interaction
Supplement 330,Medication 146,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 282,Medication 100,moderate,Additive effect,A,Auto-generated interaction
Supplement 866,Medication 88,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 308,Medication 130,severe,Unknown,A,Auto-generated interaction
Supplement 777,Medication 64,severe,Unknown,B,Auto-generated interaction
Supplement 684,Medication 43,severe,Additive effect,B,Auto-generated interaction
Supplement 244,Medication 50,severe,Absorption reduction,B,Auto-generated interaction
Supplement 548,Medication 147,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 559,Medication 85,high,Metabolism inhibition,A,Auto-generated interaction
Supplement 333,Medication 72,severe,Unknown,B,Auto-generated interaction
Supplement 304,Medication 128,moderate,Unknown,B,Auto-generated interaction
Supplement 386,Medication 64,severe,Unknown,C,Auto-generated interaction
Supplement 575,Medication 65,moderate,Additive effect,C,Auto-generated interaction
Supplement 64,Medication 126,severe,Unknown,B,Auto-generated interaction
Supplement 312,Medication 74,high,Metabolism inhibition,B,Auto-generated interaction
Supplement 769,Medication 113,high,Absorption reduction,B,Auto-generated interaction
Supplement 573,Medication 22,severe,Absorption reduction,A,Auto-generated interaction
Supplement 229,Medication 41,severe,Metabolism inhibition,C,Auto-generated interaction
Supplement 147,Medication 4,severe,Unknown,C,Auto-generated interaction
Supplement 490,Medication 122,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 297,Medication 115,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 565,Medication 30,high,Additive effect,B,Auto-generated interaction
Supplement 789,Medication 76,low,Absorption reduction,B,Auto-generated interaction
Supplement 217,Medication 136,low,Absorption reduction,B,Auto-generated interaction
Supplement 606,Medication 109,moderate,Additive effect,B,Auto-generated interaction
Supplement 927,Medication 3,severe,Absorption reduction,B,Auto-generated interaction
Supplement 738,Medication 51,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 857,Medication 25,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 655,Medication 24,severe,Additive effect,B,Auto-generated interaction
Supplement 32,Medication 74,severe,Additive effect,A,Auto-generated interaction
Supplement 627,Medication 90,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 148,Medication 101,severe,Additive effect,A,Auto-generated interaction
Supplement 387,Medication 113,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 103,Medication 99,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 467,Medication 149,low,Absorption reduction,B,Auto-generated interaction
Supplement 418,Medication 110,high,Unknown,A,Auto-generated interaction
Supplement 564,Medication 57,moderate,Unknown,A,Auto-generated interaction
Supplement 185,Medication 17,low,Metabolism inhibition,C,Auto-generated interaction
Supplement 165,Medication 132,high,Unknown,A,Auto-generated interaction
Supplement 419,Medication 53,low,Additive effect,C,Auto-generated interaction
Supplement 589,Medication 7,high,Unknown,A,Auto-generated interaction
Supplement 167,Medication 118,moderate,Unknown,B,Auto-generated interaction
Supplement 679,Medication 19,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 947,Medication 39,high,Unknown,A,Auto-generated interaction
Supplement 209,Medication 25,high,Absorption reduction,A,Auto-generated interaction
Supplement 354,Medication 126,high,Unknown,A,Auto-generated interaction
Supplement 239,Medication 16,high,Additive effect,A,Auto-generated interaction
Supplement 872,Medication 83,severe,Absorption reduction,C,Auto-generated interaction
Supplement 536,Medication 142,high,Unknown,B,Auto-generated interaction
Supplement 291,Medication 66,severe,Additive effect,B,Auto-generated interaction
Supplement 708,Medication 68,moderate,Additive effect,B,Auto-generated interaction
Supplement 755,Medication 129,moderate,Additive effect,B,Auto-generated interaction
Supplement 15,Medication 66,low,Absorption reduction,B,Auto-generated interaction
Supplement 520,Medication 92,moderate,Additive effect,B,Auto-generated interaction
Supplement 607,Medication 105,low,Absorption reduction,A,Auto-generated interaction
Supplement 110,Medication 15,low,Additive effect,C,Auto-generated interaction
Supplement 517,Medication 39,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 381,Medication 31,high,Absorption reduction,B,Auto-generated interaction
Supplement 671,Medication 136,high,Unknown,B,Auto-generated interaction
Supplement 81,Medication 52,moderate,Additive effect,A,Auto-generated interaction
Supplement 428,Medication 63,low,Unknown,B,Auto-generated interaction
Supplement 111,Medication 17,moderate,Unknown,C,Auto-generated interaction
Supplement 112,Medication 132,low,Absorption reduction,C,Auto-generated interaction
Supplement 559,Medication 98,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 577,Medication 42,severe,Additive effect,A,Auto-generated interaction
Supplement 369,Medication 32,high,Additive effect,B,Auto-generated interaction
Supplement 13,Medication 95,severe,Unknown,B,Auto-generated interaction
Supplement 768,Medication 8,high,Absorption reduction,A,Auto-generated interaction
Supplement 972,Medication 100,moderate,Unknown,A,Auto-generated interaction
Supplement 808,Medication 149,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 178,Medication 86,severe,Additive effect,A,Auto-generated interaction
Supplement 729,Medication 32,severe,Additive effect,C,Auto-generated interaction
Supplement 582,Medication 146,low,Additive effect,C,Auto-generated interaction
Supplement 35,Medication 137,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 794,Medication 69,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 341,Medication 78,moderate,Unknown,B,Auto-generated interaction
Supplement 950,Medication 134,high,Absorption reduction,A,Auto-generated interaction
Supplement 426,Medication 115,severe,Additive effect,C,Auto-generated interaction
Supplement 686,Medication 26,severe,Additive effect,A,Auto-generated interaction
Supplement 202,Medication 13,low,Unknown,A,Auto-generated interaction
Supplement 323,Medication 48,severe,Absorption reduction,C,Auto-generated interaction
Supplement 423,Medication 93,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 168,Medication 29,severe,Unknown,B,Auto-generated interaction
Supplement 16,Medication 79,severe,Additive effect,A,Auto-generated interaction
Supplement 174,Medication 13,moderate,Unknown,A,Auto-generated interaction
Supplement 633,Medication 147,low,Absorption reduction,A,Auto-generated interaction
Supplement 451,Medication 6,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 144,Medication 103,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 34,Medication 75,severe,Metabolism inhibition,B,Auto-generated interaction
Supplement 809,Medication 129,low,Additive effect,B,Auto-generated interaction
Supplement 93,Medication 150,severe,Additive effect,B,Auto-generated interaction
Supplement 543,Medication 114,moderate,Unknown,B,Auto-generated interaction
Supplement 48,Medication 45,moderate,Additive effect,B,Auto-generated interaction
Supplement 386,Medication 59,severe,Unknown,A,Auto-generated interaction
Supplement 372,Medication 148,severe,Unknown,B,Auto-generated interaction
Supplement 726,Medication 147,severe,Additive effect,A,Auto-generated interaction
Supplement 571,Medication 33,low,Unknown,B,Auto-generated interaction
Supplement 958,Medication 124,severe,Absorption reduction,B,Auto-generated interaction
Supplement 440,Medication 65,moderate,Absorption reduction,C,Auto-generated interaction
Supplement 839,Medication 62,high,Additive effect,B,Auto-generated interaction
Supplement 610,Medication 58,severe,Additive effect,B,Auto-generated interaction
Supplement 161,Medication 38,moderate,Absorption reduction,A,Auto-generated interaction
Supplement 222,Medication 124,severe,Unknown,B,Auto-generated interaction
Supplement 442,Medication 130,low,Additive effect,B,Auto-generated interaction
Supplement 264,Medication 113,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 934,Medication 3,severe,Unknown,B,Auto-generated interaction
Supplement 397,Medication 117,severe,Absorption reduction,A,Auto-generated interaction
Supplement 79,Medication 92,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 529,Medication 59,low,Unknown,C,Auto-generated interaction
Supplement 940,Medication 50,low,Absorption reduction,B,Auto-generated interaction
Supplement 963,Medication 79,moderate,Metabolism inhibition,A,Auto-generated interaction
Supplement 443,Medication 5,low,Unknown,B,Auto-generated interaction
Supplement 434,Medication 106,moderate,Metabolism inhibition,B,Auto-generated interaction
Supplement 296,Medication 142,low,Additive effect,C,Auto-generated interaction
Supplement 340,Medication 126,moderate,Absorption reduction,B,Auto-generated interaction
Supplement 221,Medication 112,low,Absorption reduction,A,Auto-generated interaction
Supplement 500,Medication 69,severe,Unknown,B,Auto-generated interaction
Supplement 537,Medication 87,high,Unknown,B,Auto-generated interaction
Supplement 314,Medication 1,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 298,Medication 115,low,Absorption reduction,A,Auto-generated interaction
Supplement 168,Medication 121,low,Absorption reduction,A,Auto-generated interaction
Supplement 752,Medication 69,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 587,Medication 82,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 698,Medication 98,low,Metabolism inhibition,A,Auto-generated interaction
Supplement 390,Medication 8,low,Absorption reduction,C,Auto-generated interaction
Supplement 521,Medication 77,high,Unknown,A,Auto-generated interaction
Supplement 979,Medication 18,high,Metabolism inhibition,C,Auto-generated interaction
Supplement 690,Medication 128,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 965,Medication 142,low,Metabolism inhibition,B,Auto-generated interaction
Supplement 597,Medication 8,low,Absorption reduction,A,Auto-generated interaction
Supplement 921,Medication 11,low,Absorption reduction,C,Auto-generated interaction
Supplement 318,Medication 149,severe,Metabolism inhibition,A,Auto-generated interaction
Supplement 93,Medication 63,moderate,Metabolism inhibition,C,Auto-generated interaction
Supplement 154,Medication 96,high,Absorption reduction,A,Auto-generated interaction
